target_id,tess_magnitude,point_to_point_scatter_ppm,lag1_autocorrelation,physical_trials,raw_recoveries,empirical_significant_recoveries,null_trials,null_segments,surrogate_p95_maximum_dimming_snr,nominal_5snr_false_alarm_rate,campaign_input_sha256
hd-10700,2.74589992,54.426105231561046,0.4090582466730211,32,32,8,64,11,24.30866587730258,1.0,afa1a8a807dba4265fda5db1ff8743a293880a9efbdbc3db20128da10b5a792e
hd-20794,3.58430004,55.457139371998196,0.23902341674707048,32,32,23,64,12,11.378090482685009,1.0,fe7940a0958b6c034110aa6d78ede6ff3f54f7f98c504b614e61fccb35a2b559
hd-69830,5.2656002,147.03171711809773,0.061754217252723745,32,28,8,64,8,10.643215704126359,0.84375,1831320c33a0006f37bcb470cbb7b80766d65a1d5fceb79e6bc14c1a0c72685d
au-mic,6.75500011,311.7472319176327,0.9990721000641664,32,0,0,0,,,47b0e3dd1f24
TOI-700,10.91020012,1621.6604856136305,0.019836217297801384,32,0,0,0,,,4acbb12cb7cd
lhs-3844,11.92380047,3210.5778264036812,0.0788117076108132,32,0,0,0,,,3366b2cc059a
