depth,duration_days,targets,trials,recovered,completeness,confidence_low,confidence_high,median_recovered_snr,median_timing_error_days,median_snr_above_control,mean_novel_competing_events
0.004,0.08,3,12,12,1.0,0.7575059933447592,1.0,452.11008519408153,0.0006944420671288754,424.44676288647656,0.0
0.004,0.16,3,12,12,1.0,0.7575059933447592,1.0,640.0623519859164,0.0,612.3990296783115,0.0
0.008,0.08,3,12,12,1.0,0.7575059933447592,1.0,905.6196797939908,0.0006944420671288754,877.9563574863859,0.0
0.008,0.16,3,12,12,1.0,0.7575059933447592,1.0,1280.3678180407646,0.0,1252.7044957331595,0.0
