target_id,target,sector_label,cadences,baseline_days,median_cadence_minutes,event_count,maximum_snr,event_rate_per_day,brightening_event_count,brightening_maximum_snr,brightening_rate_per_day,event_count_ratio,maximum_snr_difference
tau-ceti,HD 10700,3,12915,20.2765560264113,2.0000213165258174,16,15.392423346512022,0.789088639074562,17,27.663322307604968,0.8384066790167221,0.9444444444444444,-12.270898961092946
hd-20794,HD 20794,3,13536,20.278045908520653,2.000027020148991,8,12.749113983827057,0.394515331313974,9,16.59722177549102,0.44382974772822076,0.9,-3.8481077916639617
hd-69830,HD 69830,7,16341,24.454561213107354,2.0000326939771185,4,9.065725810366933,0.16356866783019797,1,5.999674094609749,0.04089216695754949,2.5,3.066051715757184
