depth,duration_days,targets,trials,recovered,completeness,confidence_low,confidence_high,median_recovered_snr,median_timing_error_days,median_snr_above_control,mean_novel_competing_events
0.0005,0.04,3,24,24,1.0,0.8620237953250198,1.0,39.994700980210396,0.0,12.730810439730828,0.0
0.0005,0.08,3,24,24,1.0,0.8620237953250198,1.0,55.291406778467774,0.0,27.838989549820504,0.0
0.0005,0.16,3,24,24,1.0,0.8620237953250198,1.0,78.63778779788163,0.0,50.97446549027665,0.0
0.001,0.04,3,24,24,1.0,0.8620237953250198,1.0,81.16392845807113,0.0,53.50060615046616,0.0
0.001,0.08,3,24,24,1.0,0.8620237953250198,1.0,111.81628882073122,0.0,84.15296651312624,0.0
0.001,0.16,3,24,24,1.0,0.8620237953250198,1.0,159.15630519168897,0.0,131.492982884084,0.0
0.002,0.04,3,24,24,1.0,0.8620237953250198,1.0,163.07034354068307,0.0,135.4070212330781,0.0
0.002,0.08,3,24,24,1.0,0.8620237953250198,1.0,225.04726308210408,0.0,197.3839407744991,0.0
0.002,0.16,3,24,24,1.0,0.8620237953250198,1.0,319.69200796009414,0.0,292.0286856524892,0.0
